dates,prices,logret,pct
16/12/2005,1267.32,-0.0028523496051064967,-0.28523496051064967
19/12/2005,1259.92,-0.005856207680058567,-0.5856207680058567
20/12/2005,1259.62,-0.00023813870898425904,-0.023813870898425904
21/12/2005,1262.79,0.0025134705847831285,0.25134705847831285
22/12/2005,1268.12,0.004211930001202013,0.42119300012020133
23/12/2005,1268.66,0.00042573657010613886,0.042573657010613886
27/12/2005,1256.54,-0.009599313375686869,-0.9599313375686869
28/12/2005,1258.17,0.0012963723278458517,0.12963723278458517
29/12/2005,1254.42,-0.002984969918998992,-0.2984969918998992
30/12/2005,1248.29,-0.004898699616490809,-0.4898699616490809
03/01/2006,1268.8,0.016296957150482072,1.6296957150482072
04/01/2006,1273.46,0.0036660335442650904,0.36660335442650904
05/01/2006,1273.48,1.57051206555181e-5,0.0015705120655518101
06/01/2006,1285.45,0.009355541032545212,0.9355541032545212
09/01/2006,1290.15,0.003649639087549339,0.3649639087549339
10/01/2006,1289.69,-0.0003566112664934451,-0.03566112664934451
11/01/2006,1294.18,0.003475410542606916,0.3475410542606916
12/01/2006,1286.06,-0.006294008933918072,-0.6294008933918072
13/01/2006,1287.61,0.001204505773777953,0.1204505773777953
17/01/2006,1282.93,-0.003641262280242863,-0.3641262280242863
18/01/2006,1277.93,-0.003904943146890716,-0.3904943146890716
19/01/2006,1285.04,0.005548264895072208,0.5548264895072208
20/01/2006,1261.49,-0.018496284270764995,-1.8496284270764995
23/01/2006,1263.82,0.0018453185242019998,0.18453185242019998
24/01/2006,1266.86,0.0024025174753532497,0.24025174753532497
25/01/2006,1264.68,-0.001722272244455425,-0.1722272244455425
26/01/2006,1273.83,0.0072089845040412825,0.7208984504041283
27/01/2006,1283.72,0.00773400269579394,0.773400269579394
30/01/2006,1285.2,0.0011522353080231085,0.11522353080231085
31/01/2006,1280.08,-0.0039917722810844936,-0.39917722810844936
01/02/2006,1282.46,0.0018575325140952614,0.18575325140952614
02/02/2006,1270.84,-0.009102009339277295,-0.9102009339277295
03/02/2006,1264.03,-0.005373069533070485,-0.5373069533070485
06/02/2006,1265.02,0.0007829027109522713,0.07829027109522713
07/02/2006,1254.78,-0.008127673918846945,-0.8127673918846945
08/02/2006,1265.65,0.008625565791762213,0.8625565791762213
09/02/2006,1263.78,-0.001478594260912125,-0.1478594260912125
10/02/2006,1266.99,0.0025367787048438117,0.2536778704843812
13/02/2006,1262.86,-0.0032650186129101755,-0.32650186129101755
14/02/2006,1275.53,0.00998278847617673,0.9982788476176729
15/02/2006,1280.0,0.0034982994202303885,0.34982994202303885
16/02/2006,1289.38,0.007301404752129592,0.7301404752129592
17/02/2006,1287.24,-0.0016610912684544843,-0.16610912684544843
21/02/2006,1283.03,-0.003275923358268429,-0.3275923358268429
22/02/2006,1292.67,0.007485378740881288,0.7485378740881288
23/02/2006,1287.79,-0.003782275886945463,-0.3782275886945463
24/02/2006,1289.43,0.0012726893484948931,0.1272689348494893
27/02/2006,1294.12,0.003630667222902062,0.3630667222902062
28/02/2006,1280.66,-0.010455357439631108,-1.0455357439631108
01/03/2006,1291.24,0.008227426945400573,0.8227426945400573
02/03/2006,1289.14,-0.0016276676021576009,-0.1627667602157601
